Drugs,Status,Evidence ID,Gene,Variant,Description,Disease,Evidence Level,Evidence Type,Evidence Direction,Clinical Significance,Variant Origin,Trust Rating
Aromatase Inhibitor,accepted,1727,ESR1,S463P,ESR1 S463P variants were observed after extensive treatment with hormonal therapy (aromatase inhibition). Expression of the S463P mutant was found to induce modest activity in the absence of hormone. This mutation displayed elevated levels of Ser118 phosphorylation compared to wild-type ERα and appeared to possess estrogen-independent activity.,Estrogen-receptor Positive Breast Cancer,D,Predictive,Supports,Resistance or Non-Response,Somatic Mutation,2
Tgx 221,accepted,1382,ERBB2,AMPLIFICATION,"Treatment of cells obtained from MMTV-NeuT mouse mammary tumors with the p110beta selective inhibitor TGX-221 showed significant but minimal reductions in lipid kinase activity and negligible reductions in phospho Akt levels. In simmilar cells subjected to p110alpha isoform knockout, TGX-221 treatment fully blocked Akt activation, indicating that TGX-221 was fully inhibiting the p110beta isoform. Athymic mice recieved MMTV-NeuT tumor cell transplants and were treated with TGX-221, which resulted in significant but minimal reduction in tumor growth compared to controls.",Her2-receptor Positive Breast Cancer,D,Predictive,Does Not Support,Sensitivity,Somatic Mutation,3
Trastuzumab Emtansine,accepted,1432,ERBB2,AMPLIFICATION,"In a randomized phase II study, first line treatment of HER2-positive metastatic breast cancer with trastuzumab emtansine (T-DM1) resulted in improved progression free survival and fewer serious adverse effects when compared to treatment with combination trastuzumab plus docetaxel (HT) (median follow up 14 months, median PFS with T-DM1 14.2 vs 9.2 with HT).",Her2-receptor Positive Breast Cancer,B,Predictive,Supports,Sensitivity,Somatic Mutation,3
"Afatinib, Lapatinib, Trastuzumab",accepted,887,ERBB2,AMPLIFICATION,"In this phase 2 trial, treatment-naive, ERBB2-positive (by IHC) breast cancer patients with stage IIIA, B, C or inflammatory disease were randomized 1:1:1 to afatinib (n = 10), lapatinib (n = 8), or trastuzumab (n = 11). The primary end point was objective response rate. Objective response was seen in 8 afatinib-, 6 lapatinib-, and 4 trastuzumab-treated patients. Afatinib demonstrated clinical activity that compared favorably to trastuzumab and lapatinib for neoadjuvant treatment of HER2-positive breast cancer.",Breast Cancer,B,Predictive,Supports,Sensitivity,Somatic Mutation,2
"Trastuzumab, Palbociclib (PD0332991)",accepted,1561,ERBB2,AMPLIFICATION,"In a panel of 47 breast cancer cell lines, HER2 overexpressing cells were among those more sensitive to CDK4/6 inhibitor Palbociclib (PD0332991). In the trastuzumab sensitive cell line Bt474, palbociclib synergized with trastuzumab in growth inhibition, while in 2 trastuzumab resistant cell lines, addition of trastuzumab to palbociclib treatment resulted in increased growth inhibition over palbociclib alone.",Her2-receptor Positive Breast Cancer,D,Predictive,Supports,Sensitivity,Somatic Mutation,2
Trastuzumab Emtansine,accepted,1764,ERBB2,AMPLIFICATION,"In the single arm Phase II study (TDM4258g) breast cancer patients who had progressed on previous anti-HER2 therapy were given transtuzumab emtansine (T-DM1), a HER2 monoclonal antibody and antimicrotubule drug conjugate. 95 trial participants with archival primary tumor were reassessed for HER2 status (positivity defined by FISH or IHC 3+), and 74 patients were confirmed for HER2 positivity and 21 were normal. Overall response rate was 33.8% (95% CI, 23.2% to 44.9%) in patients with confirmed HER2-positive tumors and 4.8% (95% CI, 1.0% to 21.8%) in HER2 normal patients. Median PFS was 8.2 months (95% CI, 4.4 months to not estimable) in patients with confirmed HER2-positive tumors and 2.6 months (95% CI, 1.4 to 3.9 months) in HER2 normal patients.",Her2-receptor Positive Breast Cancer,B,Predictive,Supports,Sensitivity,Somatic Mutation,4
Trastuzumab,accepted,1122,ERBB2,AMPLIFICATION,"HERA was a Phase III trial assessing application of trastuzumab in an extended adjuvant setting.  Patients were HER2 positive with completely excised invasive BC, node positive or negative, and having undergone prior adjuvant or neo-adjuvant chemotherapy.  In the 3 arm study patients were given trastuzumab courses of 1 year, 2 years, or untreated.  At the first planned interim analysis, trastuzumab treatment for one year was compared with observation alone.  A significant difference in disease-free survival was seen with 220 DFS events out of 1693 in the observation arm versus 127 DFS events out of 1694 in the 1 year trastuzumab arm.  1 year adjuvant trastuzumab is currently the standard of care.",Her2-receptor Positive Breast Cancer,A,Predictive,Supports,Sensitivity,Somatic Mutation,4
Trastuzumab,accepted,528,ERBB2,AMPLIFICATION,"A randomized clinical trial of 469 patients with previously untreated, HER2-positive, metastatic breast cancer demonstrated improved time to disease progression, objective response rate, and duration of response for patients who received trastuzumab in addition to chemotherapy compared to chemotherapy alone.",Her2-receptor Positive Breast Cancer,B,Predictive,Supports,Sensitivity,Somatic Mutation,5
Trastuzumab,accepted,529,ERBB2,AMPLIFICATION,"A randomized clinical trial of 186 patients with previously untreated, HER2-positive, metastatic breast cancer demonstrated improved overall survival, response rate, response duration, time to progression, and time to treatment failure for patients who received trastuzumab in addition to chemotherapy (docetaxel) compared to chemotherapy alone.",Her2-receptor Positive Breast Cancer,B,Predictive,Supports,Sensitivity,Somatic Mutation,5
Vandetanib,submitted,2992,RET,OVEREXPRESSION,"The activity of Vandetanib was tested in vivo in three PDX models of TNBC and one model of HER2+ BC with different expression levels of RET and EGFR. Vandetanib induced tumor regression in PDX models with high expression of RET or EGFR. The effect was associated with inhibition of RET/EGFR phosphorylation and MAP kinase pathway and increased necrosis. In a PDX model with no expression of RET nor EGFR, Vandetanib slowed tumor growth without inducing tumor regression. In addition, treatment by Vandetanib decreased expression of murine Vegf receptors and the endothelial marker Cd31 in the four PDX models tested, suggesting inhibition of tumor vascularization.",Estrogen-receptor Negative Breast Cancer,D,Predictive,Supports,Sensitivity,Somatic Mutation,3
"Fulvestrant, Palbociclib (PD0332991)",accepted,1527,CDK6,OVEREXPRESSION,"Four fulvestrant (estrogen receptor degrader) resistant cell lines were derived from parent fulvestrant sensitive ER+ MCF-7/SO.5 breast cancer cell line. Derivative cell lines showed some sensitivity to CDK4/6 inhibitor palbociclib, and increased growth inhibition when treated with fulvestrant and palbociclib together.",Estrogen-receptor Positive Breast Cancer,D,Predictive,Supports,Sensitivity,Somatic Mutation,2
Fulvestrant,accepted,1526,CDK6,OVEREXPRESSION,"In two cohorts (n=45 and n=46) of ER+ breast cancer patients who had received fulvestrant, CDK6 overexpression correlated with shorter median time to progression in both cohorts (2.5 vs. 8.2 months and 3.4 vs. 8.9 months for CDK6 overexpression vs. normal expression). CDK6 expression did not correlate with other lines of treatment (N=68, tamoxifen or endocrine therapy). Four fulvestrant-resistant cell lines were derived from estrogen responsive and fulvestrant sensitive parental breast cancer cell line MCF-7/SO.5. Gene expression profiling showed upregulation of CDK6 in the fulvestrant resistant derivatives. Knockdown of CDK6 in these derivative cells resulted in fulvestrant sensitivity.",Estrogen-receptor Positive Breast Cancer,B,Predictive,Supports,Resistance or Non-Response,N/A,4
Lapatinib,submitted,3052,ERBB2,NON-AMPLIFICATION,"Women with primary breast cancer were randomized (3:1) to 10 to 14 days of preoperative lapatinib or placebo in a multicenter phase II trial. Biopsies pre-/posttreatment were analyzed for Ki67, apoptosis, HER2, EGFR, ER, PgR, pAKT, pERK, and stathmin by IHC. 121 patients (lapatinib, 94; placebo, 27) were randomized; of these, 21% were HER2(+), 78% were HER2(-) nonamplified, 26% were EGFR(+). Paired samples containing tumor were obtained for 98% (118 of 121). Ki67 fell significantly with lapatinib,, but not with placebo (-3%). Whereas Ki67 reduction with lapatinib was greatest in HER2(+) breast cancer, there was a significant Ki67 decrease in HER2(-) breast cancer (-27%) with 14% of HER2(-), demonstrating ≥50% Ki67 reduction with lapatinib. Among HER2(-) tumors, only HER3 mRNA levels were significantly associated with Ki67 response on multivariate analysis. In HER2(-) breast cancer, HER2 and HER3 mRNA levels were highly correlated, with all Ki67 responders having elevated HER3 and HER2 expression.",Her2-receptor Negative Breast Cancer,B,Predictive,Supports,Sensitivity,N/A,3
"Trastuzumab, Lapatinib",accepted,1008,ERBB2,AMPLIFICATION,"This Phase III trial compared the activity of lapatinib vs. trastuzumab vs. sequential trastuzumab followed by lapatinib vs. lapatinib plus trastuzumab in an adjuvant treatment setting.  8381 women were randomized to one of four treatment arms. Patients had HER2 positive non-metastatic operable BC. The primary endpoint was disease free survival.  First results report that after median 4.5 year follow up, a non significant 16% improvement in DFS was seen in trastuzumab + lapatinib vs. trastuzumab alone.  The results are interpreted as showing no added benefit for labatinib addition to trastuzumab in the adjuvant treatment context.  This trial is ongoing but not recruiting patients (NCT00490139).",Breast Cancer,B,Predictive,Does Not Support,Sensitivity,Somatic Mutation,4
"Trastuzumab, XL147 (Pilaralisib)",accepted,1448,ERBB2,AMPLIFICATION,"In 5 trastuzumab resistant HER2 overexpressing breast cancer cell lines, combination of the pan-PI3K inhibitor XL147 and trastuzumab treatment induced cell death to similar or greater levels than XL147 alone. In three trastuzumab resistant cell lines tested, colony formation in matrigel was markedly inhibited by combination treatment. Apoptotic markers were apparent with combination treatment. In athymic mice, trastuzumab resistant cell line HR6 was used in tumor xenografts and tumors were allowed to form. Mice subsequently treated with trastuzumab or XL147 showed continued tumor growth without marked difference from control, while combination treatment essentially halted tumor growth rate.",Her2-receptor Positive Breast Cancer,D,Predictive,Supports,Sensitivity,Somatic Mutation,4
Olaparib,submitted,5816,BRCA2,LOSS-OF-FUNCTION,"302 patients (234 with progression events) with HER2-negative metastatic breast cancer and with a confirmed deleterious or suspected deleterious germline BRCA mutation (164 BRCA1, 129 BRCA2) had significantly improved progression-free survival and better response rate to olaparib (PARP inhibitor) than standard therapy (7.0 mo vs 4.2 mo, hazard ratio 0.58, 95% CI 0.43-0.8) in this randomized phase 3 trial (NCT02000622). For BRCA2 patients specifically, the hazard ratio was 0.68, 95% CI 0.45-0.1.07.",Her2-receptor Negative Breast Cancer,B,Predictive,Supports,Sensitivity,Germline Mutation,3
Lapatinib,submitted,3052,ERBB2,NON-AMPLIFICATION,"Women with primary breast cancer were randomized (3:1) to 10 to 14 days of preoperative lapatinib or placebo in a multicenter phase II trial. Biopsies pre-/posttreatment were analyzed for Ki67, apoptosis, HER2, EGFR, ER, PgR, pAKT, pERK, and stathmin by IHC. 121 patients (lapatinib, 94; placebo, 27) were randomized; of these, 21% were HER2(+), 78% were HER2(-) nonamplified, 26% were EGFR(+). Paired samples containing tumor were obtained for 98% (118 of 121). Ki67 fell significantly with lapatinib,, but not with placebo (-3%). Whereas Ki67 reduction with lapatinib was greatest in HER2(+) breast cancer, there was a significant Ki67 decrease in HER2(-) breast cancer (-27%) with 14% of HER2(-), demonstrating ≥50% Ki67 reduction with lapatinib. Among HER2(-) tumors, only HER3 mRNA levels were significantly associated with Ki67 response on multivariate analysis. In HER2(-) breast cancer, HER2 and HER3 mRNA levels were highly correlated, with all Ki67 responders having elevated HER3 and HER2 expression.",Her2-receptor Negative Breast Cancer,B,Predictive,Supports,Sensitivity,N/A,3
"Trastuzumab, Lapatinib",accepted,1008,ERBB2,AMPLIFICATION,"This Phase III trial compared the activity of lapatinib vs. trastuzumab vs. sequential trastuzumab followed by lapatinib vs. lapatinib plus trastuzumab in an adjuvant treatment setting.  8381 women were randomized to one of four treatment arms. Patients had HER2 positive non-metastatic operable BC. The primary endpoint was disease free survival.  First results report that after median 4.5 year follow up, a non significant 16% improvement in DFS was seen in trastuzumab + lapatinib vs. trastuzumab alone.  The results are interpreted as showing no added benefit for labatinib addition to trastuzumab in the adjuvant treatment context.  This trial is ongoing but not recruiting patients (NCT00490139).",Breast Cancer,B,Predictive,Does Not Support,Sensitivity,Somatic Mutation,4
"Trastuzumab, XL147 (Pilaralisib)",accepted,1448,ERBB2,AMPLIFICATION,"In 5 trastuzumab resistant HER2 overexpressing breast cancer cell lines, combination of the pan-PI3K inhibitor XL147 and trastuzumab treatment induced cell death to similar or greater levels than XL147 alone. In three trastuzumab resistant cell lines tested, colony formation in matrigel was markedly inhibited by combination treatment. Apoptotic markers were apparent with combination treatment. In athymic mice, trastuzumab resistant cell line HR6 was used in tumor xenografts and tumors were allowed to form. Mice subsequently treated with trastuzumab or XL147 showed continued tumor growth without marked difference from control, while combination treatment essentially halted tumor growth rate.",Her2-receptor Positive Breast Cancer,D,Predictive,Supports,Sensitivity,Somatic Mutation,4
"Trastuzumab, LY294002",accepted,1455,PTEN,LOSS,"Knockdown of PTEN in trastuzumab sensitive HER2 breast cancer BT474 cells induced trastuzumab resistance. PTEN null cells treated with PI3K inhibitor LY294002 also did not show substantial inhibition, but co-treatment with trastuzumab and LY294002 induced growth inhibition comparable to trastuzumab alone in normal BT474 cells. BT474 mouse xenograft tumors were injected with PTEN antisense (AS) oligonucleotides and this resulted in trastuzumab resitance. Co-treatment of PTEN AS tumor mice with LY294002 and trastuzumab inhibited tumor growth in comparison to PTEN AS tumors treated with trastuzumab or LY294002 alone.",Her2-receptor Positive Breast Cancer,D,Predictive,Supports,Sensitivity,Somatic Mutation,3
"Cisplatin, Carboplatin",accepted,1684,BRCA1,MUTATION,"In an evaluation of 77 patients, those who had BRCA1/2 germline mutations (n=11) had an increase response rate to cisplatin when compared to those without germline mutations (54.5% versus 19.7%; P=0.022) although progression free survival and overall survival was not significantly different.",Triple-receptor Negative Breast Cancer,B,Predictive,Supports,Sensitivity,Germline Mutation,3
Olaparib,accepted,1775,BRCA1,MUTATION,"In a study of 26 patients with breast cancer, 10 patients were BRCA-positive and 16 patients were BRCA-negative.  Regardless of BRCA status, none showed objective response when treated with olaparib.",Triple-receptor Negative Breast Cancer,B,Predictive,Supports,Resistance or Non-Response,Germline Mutation,3
"Cisplatin, Carboplatin",accepted,1685,BRCA2,MUTATION,"In an evaluation of 77 patients, those who had BRCA1/2 germline mutations (n=11) had an increase response rate to cisplatin when compared to those without germline mutations (54.5% versus 19.7%; P=0.022) although progression free survival and overall survival was not significantly different.",Triple-receptor Negative Breast Cancer,B,Predictive,Supports,Sensitivity,Germline Mutation,3
Olaparib,accepted,1776,BRCA2,MUTATION,"In a study of 26 patients with breast cancer, 10 patients were BRCA-positive and 16 patients were BRCA-negative.  Regardless of BRCA status, none showed objective response when treated with olaparib.",Triple-receptor Negative Breast Cancer,B,Predictive,Supports,Resistance or Non-Response,Germline Mutation,3
Palbociclib (PD0332991),accepted,1629,CCNE1,AMPLIFICATION,"Preclinical study in breast cancer cell lines treated with CDK4/6 inhibitor palbociclib. Cell lines with acquired resistance to palbociclib were developed. Two palbociclib-resistant cell lines were derived through chronic exposure to 1 μmol/L palbociclib during 3 to 4 months. Copy number profiling from exome sequencing of MCF-7 and MCF-7pR, confirmed relative amplification of CCNE1. Silencing of CCNE1 or CDK2 alone in MCF-7pR cells had no effect on cell-cycle arrest, but resulted in substantially increased cell-cycle arrest and reduction in cell growth in combination with palbociclib.",Estrogen-receptor Positive Breast Cancer,D,Predictive,Supports,Resistance or Non-Response,N/A,3
"Trastuzumab, Trastuzumab Emtansine",submitted,5817,ERBB2,V777L,"In a cohort of 205 Her2-receptor amplified breast cancers, 20 experienced recurrence after trastuzumab therapy. Of the 20 recurrent cases, only six patients had metastatic sites, excluding brain metastases, which were resistant to trastuzumab. NGS of thes six clinical specimens before and after trastuzumab therapy revealed one case of intrinsic activating mutation that leads to a valine-to-leucine substitution at codon 777 within the HER2 kinase domain (HER2 V777L).",Her2-receptor Positive Breast Cancer,C,Predictive,Supports,Resistance or Non-Response,Somatic Mutation,3
Doxorubicin,accepted,909,TOP2A,EXPRESSION,"In a retrospective study, TOP2A expression was assessed by IHC for 108 breast cancer patients (from TAX 303 trial). TOP2A expression was associated with a higher probability of response in doxorubicin treated but not in docetaxel treated breast cancer patients.",Breast Cancer,B,Predictive,Supports,Sensitivity,N/A,2
"Palbociclib (PD0332991), Letrozole",accepted,1765,CDKN2A,LOSS,"A patient with metastatic ER-positive, her2-negative breast cancer with CDKN2A loss experienced a short-lived (~3-month) clinical response to palbociclib when given in combination with letrozole.",Her2-receptor Negative Breast Cancer,C,Predictive,Supports,Sensitivity,Somatic Mutation,3
Olaparib,submitted,5816,BRCA2,LOSS-OF-FUNCTION,"302 patients (234 with progression events) with HER2-negative metastatic breast cancer and with a confirmed deleterious or suspected deleterious germline BRCA mutation (164 BRCA1, 129 BRCA2) had significantly improved progression-free survival and better response rate to olaparib (PARP inhibitor) than standard therapy (7.0 mo vs 4.2 mo, hazard ratio 0.58, 95% CI 0.43-0.8) in this randomized phase 3 trial (NCT02000622). For BRCA2 patients specifically, the hazard ratio was 0.68, 95% CI 0.45-0.1.07.",Her2-receptor Negative Breast Cancer,B,Predictive,Supports,Sensitivity,Germline Mutation,3
Lapatinib,submitted,3052,ERBB2,NON-AMPLIFICATION,"Women with primary breast cancer were randomized (3:1) to 10 to 14 days of preoperative lapatinib or placebo in a multicenter phase II trial. Biopsies pre-/posttreatment were analyzed for Ki67, apoptosis, HER2, EGFR, ER, PgR, pAKT, pERK, and stathmin by IHC. 121 patients (lapatinib, 94; placebo, 27) were randomized; of these, 21% were HER2(+), 78% were HER2(-) nonamplified, 26% were EGFR(+). Paired samples containing tumor were obtained for 98% (118 of 121). Ki67 fell significantly with lapatinib,, but not with placebo (-3%). Whereas Ki67 reduction with lapatinib was greatest in HER2(+) breast cancer, there was a significant Ki67 decrease in HER2(-) breast cancer (-27%) with 14% of HER2(-), demonstrating ≥50% Ki67 reduction with lapatinib. Among HER2(-) tumors, only HER3 mRNA levels were significantly associated with Ki67 response on multivariate analysis. In HER2(-) breast cancer, HER2 and HER3 mRNA levels were highly correlated, with all Ki67 responders having elevated HER3 and HER2 expression.",Her2-receptor Negative Breast Cancer,B,Predictive,Supports,Sensitivity,N/A,3
"Trastuzumab, Lapatinib",accepted,1008,ERBB2,AMPLIFICATION,"This Phase III trial compared the activity of lapatinib vs. trastuzumab vs. sequential trastuzumab followed by lapatinib vs. lapatinib plus trastuzumab in an adjuvant treatment setting.  8381 women were randomized to one of four treatment arms. Patients had HER2 positive non-metastatic operable BC. The primary endpoint was disease free survival.  First results report that after median 4.5 year follow up, a non significant 16% improvement in DFS was seen in trastuzumab + lapatinib vs. trastuzumab alone.  The results are interpreted as showing no added benefit for labatinib addition to trastuzumab in the adjuvant treatment context.  This trial is ongoing but not recruiting patients (NCT00490139).",Breast Cancer,B,Predictive,Does Not Support,Sensitivity,Somatic Mutation,4
"Trastuzumab, XL147 (Pilaralisib)",accepted,1448,ERBB2,AMPLIFICATION,"In 5 trastuzumab resistant HER2 overexpressing breast cancer cell lines, combination of the pan-PI3K inhibitor XL147 and trastuzumab treatment induced cell death to similar or greater levels than XL147 alone. In three trastuzumab resistant cell lines tested, colony formation in matrigel was markedly inhibited by combination treatment. Apoptotic markers were apparent with combination treatment. In athymic mice, trastuzumab resistant cell line HR6 was used in tumor xenografts and tumors were allowed to form. Mice subsequently treated with trastuzumab or XL147 showed continued tumor growth without marked difference from control, while combination treatment essentially halted tumor growth rate.",Her2-receptor Positive Breast Cancer,D,Predictive,Supports,Sensitivity,Somatic Mutation,4
